,Notfound
0,Connecticut
1,Delaware
2,Florida
3,Idaho
4,Illinois
5,Indiana
6,Iowa
7,Maryland
8,Massachusetts
9,Michigan
10,Minnesota
11,Mississippi
12,Missouri
13,Montana
14,Nebraska
15,New Hampshire
16,New Mexico
17,North Carolina
18,North Dakota
19,Oklahoma
20,Oregon
21,Pennsylvania
22,Rhode Island
23,South Carolina
24,South Dakota
25,Tennessee
26,Washington
27,West Virginia
28,Wisconsin
29,Wyoming
